Nom Commune;Code Postal;D�partement
ALLINEUC;22001;22
ANDEL;22002;22
AUCALEUC;22003;22
BEGARD;22004;22
BELLE-ISLE-EN-TERRE;22005;22
BERHET;22006;22
BOBITAL;22008;22
LE BODEO;22009;22
BOQUEHO;22011;22
LA BOUILLIE;22012;22
BOURBRIAC;22013;22
BOURSEUL;22014;22
BREHAND;22015;22
ILE-DE-BREHAT;22016;22
BRELIDY;22018;22
BRINGOLO;22019;22
BROONS;22020;22
BRUSVILY;22021;22
BULAT-PESTIVIEN;22023;22
CALANHEL;22024;22
CALLAC;22025;22
CALORGUEN;22026;22
LE CAMBOUT;22027;22
CAMLEZ;22028;22
CANIHUEL;22029;22
CAOUENNEC-LANVEZEAC;22030;22
CARNOET;22031;22
CAULNES;22032;22
CAUREL;22033;22
CAVAN;22034;22
LES CHAMPS-GERAUX;22035;22
LA CHAPELLE-BLANCHE;22036;22
LA CHAPELLE-NEUVE;22037;22
LA CHEZE;22039;22
COADOUT;22040;22
COATASCORN;22041;22
COATREVEN;22042;22
COETLOGON;22043;22
COETMIEUX;22044;22
COHINIAC;22045;22
LE MENE;22046;22
CORLAY;22047;22
CORSEUL;22048;22
CREHEN;22049;22
DINAN;22050;22
DUAULT;22052;22
EREAC;22053;22
ERQUY;22054;22
BINIC-ETABLES-SUR-MER;22055;22
EVRAN;22056;22
LE FAOUET;22057;22
LE FŒIL;22059;22
GAUSSON;22060;22
GLOMEL;22061;22
GOMENE;22062;22
GOMMENEC'H;22063;22
GOUAREC;22064;22
GOUDELIN;22065;22
GRACES;22067;22
GRACE-UZEL;22068;22
GUENROC;22069;22
GUINGAMP;22070;22
GUITTE;22071;22
GURUNHUEL;22072;22
LA HARMOYE;22073;22
LE HAUT-CORLAY;22074;22
HEMONSTOIR;22075;22
HENANBIHEN;22076;22
HENANSAL;22077;22
HENON;22079;22
HILLION;22081;22
LE HINGLE;22082;22
ILLIFAUT;22083;22
